H_um,p_inlet_Pa,Nx,Ny,dt,n_passos,nm_membrana,np_rede,w_centro_max_m,w_centro_final_m,w_max_m,p_outlet_max_Pa,p_outlet_final_Pa,q_outlet_max_abs_m3s,q_outlet_final_m3s,volume_final_m3,potencia_max_abs_W,potencia_final_W,tempo_execucao_s
1500,20000.0,51,51,0.00625,1921,2601,224,0.0003140107535934551,0.00017707933806332965,0.0003140107535934551,21441.584317334302,20039.925779380013,5.915742328212557e-05,-1.476963740455576e-06,1.7772271049042647e-09,1.1831484656425113,-0.02953927480911152,18.59194228100023
1500,20000.0,51,51,0.0125,961,2601,224,0.0003090387180087806,0.00017504477693547777,0.0003090387180087806,21366.927095139883,20033.204014216004,5.865165671368299e-05,-1.228307269100323e-06,1.7388033837627702e-09,1.1730331342736597,-0.02456614538200646,9.563013140999828
1500,20000.0,51,51,0.025,481,2601,224,0.00030005029608922085,0.00017019698912363614,0.00030005029608922085,21244.66980992088,20017.412745275502,5.766225370275909e-05,-6.44145056030714e-07,1.6876836708488376e-09,1.1532450740551818,-0.012882901120614281,5.020388513999933
1500,20000.0,51,51,0.05,241,2601,224,0.0002851588942933755,0.00016407874102920085,0.0002851588942933755,21055.780944746934,20000.110783814656,5.5725121197078265e-05,-4.098196249260939e-09,1.6337199185594456e-09,1.1145024239415653,-8.196392498521878e-05,2.865501943999334
1500,20000.0,101,101,0.00625,1921,10201,224,0.00031145677891557743,0.00017523384128235146,0.00031145677891557743,21431.08609948681,20070.226328717177,5.8571665378020285e-05,-2.5978639053298846e-06,1.7494367582520143e-09,1.1714333075604058,-0.05195727810659769,101.51536700600082
1500,20000.0,101,101,0.0125,961,10201,224,0.00030666713685096757,0.00017336818343864966,0.00030666713685096757,21356.018600843756,20054.17400717576,5.8071061171594666e-05,-2.004044642725267e-06,1.7117787035884589e-09,1.1614212234318932,-0.04008089285450534,51.83811265700024
1500,20000.0,101,101,0.025,481,10201,224,0.00029790292450844165,0.00016875735190886398,0.00029790292450844165,21233.720089198734,20030.08249326944,5.7081092292777856e-05,-1.1128336746229344e-06,1.6622771255418443e-09,1.1416218458555571,-0.02225667349245869,27.022908806999112
1500,20000.0,101,101,0.05,241,10201,224,0.00028315474410751945,0.000162847773268367,0.00028315474410751945,21046.939662146742,20005.680517120276,5.516799563452488e-05,-2.1013785939224303e-07,1.6102151293102017e-09,1.1033599126904976,-0.004202757187844861,14.61885454000003
1750,5000.0,51,51,0.00625,1921,2601,224,8.093411117184145e-05,4.83765898348807e-05,8.093411117184145e-05,5212.966014010666,5012.976955169538,1.527531405415137e-05,-8.89357544704784e-07,4.806938314383185e-10,0.07637657027075685,-0.00444678772352392,18.637099923998903
1750,5000.0,51,51,0.0125,961,2601,224,7.966038468700212e-05,4.7125385768852863e-05,7.966038468700212e-05,5202.166547356322,5010.728372625546,1.5143688702230545e-05,-7.352540724811552e-07,4.640590378676726e-10,0.07571844351115273,-0.003676270362405776,9.604051074000381
1750,5000.0,51,51,0.025,481,2601,224,7.731823469763513e-05,4.477991321483606e-05,7.731823469763513e-05,5184.379427056948,5006.326445588979,1.4884141527236128e-05,-4.3357413522641286e-07,4.412268147507311e-10,0.07442070763618064,-0.002167870676132064,5.0589008040005865
